customer_id,customer_name,city,platform,signup_date
1,Krishna Sharma,Chennai,Android,17-08-2023
2,Arjun Yadav,Delhi,Web,12-07-2024
3,Aditya Nair,Pune,Android,31-01-2023
4,Aditya Roy,Hyderabad,Web,08-09-2024
5,Aarav Agarwal,Hyderabad,Web,27-10-2024
6,Meera Kapoor,Hyderabad,iOS,26-08-2024
7,Ananya Singh,Mumbai,Android,15-12-2024
8,Karan Mehta,Chennai,Android,09-08-2023
9,Priya Verma,Delhi,iOS,10-04-2023
10,Sneha Chatterjee,Kolkata,Web,28-09-2023
11,Vivaan Yadav,Ahmedabad,Web,08-05-2023
12,Rahul Verma,Chennai,Web,25-09-2024
13,Sneha Nair,Hyderabad,Web,13-03-2023
14,Vivaan Reddy,Hyderabad,iOS,23-03-2023
15,Rohan Chatterjee,Delhi,iOS,12-10-2023
16,Neha Reddy,Kolkata,Android,15-01-2024
17,Sneha Roy,Chennai,Web,30-11-2024
18,Aditya Nair,Bangalore,Web,08-09-2023
19,Sai Mishra,Pune,iOS,17-10-2024
20,Meera Roy,Kolkata,Android,23-08-2023
21,Vivaan Singh,Kolkata,iOS,02-10-2023
22,Aditya Roy,Kolkata,Android,02-11-2024
23,Pooja Kapoor,Ahmedabad,Android,29-09-2023
24,Arjun Roy,Chennai,Web,21-08-2024
25,Karan Pillai,Pune,iOS,13-08-2023
26,Arjun Agarwal,Ahmedabad,Android,18-02-2023
27,Krishna Gupta,Bangalore,Web,08-03-2024
28,Sanya Verma,Pune,iOS,02-09-2024
29,Neha Agarwal,Chennai,Web,12-01-2023
30,Krishna Reddy,Chennai,Web,15-12-2023
31,Krishna Das,Pune,Android,09-04-2024
32,Aarav Yadav,Chennai,Web,02-07-2023
33,Aisha Pillai,Delhi,Web,02-11-2023
34,Aisha Nair,Hyderabad,Android,18-01-2024
35,Sai Agarwal,Mumbai,Web,28-11-2023
36,Pooja Sharma,Delhi,iOS,11-11-2023
37,Rohan Sharma,Hyderabad,Web,22-03-2023
38,Aditya Yadav,Ahmedabad,Android,29-06-2024
39,Arjun Gupta,Ahmedabad,Web,19-06-2023
40,Ananya Agarwal,Pune,Android,06-07-2024
41,Ishaan Yadav,Chennai,iOS,18-11-2024
42,Sneha Mishra,Ahmedabad,Android,11-09-2023
43,Rohan Verma,Kolkata,Android,25-08-2024
44,Meera Roy,Hyderabad,Android,14-03-2023
